"","name","pweight_x","pweight_y","pop11","number_lsoa","type","number_oa","imputed_easting","imputed_northing","imputed_type","imputed_error","imputed_osm_nm"
"1171","Sandiacre BUASD",447633.809983405,336347.30389361,8889,6,"buasd",NA,447633.809983405,336347.30389361,"Origin",NA,NA
"1172","Sandleheath BUASD",413508.166786819,114514.24669842,1592,1,"buasd",NA,413508.166786819,114514.24669842,"Origin",NA,NA
"1173","Sandown BUASD",459360.830326941,84141.5894111972,12302,8,"buasd",NA,459384.238460136,84008.496247906,"townhall",135.135971578721,NA
"1174","Sandy BUASD",517012.939265364,249665.104902166,11657,7,"buasd",NA,516932.587986151,249291.853739222,"town",381.801988876656,"Sandy"
"1175","Sandycroft BUASD",332150.180082421,366912.002553436,7492,4,"buasd",NA,332150.180082421,366912.002553436,"Origin",NA,NA
"1176","Sarn BUASD",290168.248591546,184012.621829648,11420,7,"buasd",NA,290168.248591546,184012.621829648,"Origin",NA,NA
"1177","Saundersfoot BUASD",213203.855041097,204697.676110783,2628,2,"buasd",NA,213573.0256465,204801.355984954,"town",383.453324671469,"Saundersfoot"
"1178","Sawbridgeworth BUASD",548267.944293507,214716.150708343,10472,6,"buasd",NA,548199.241392915,215155.407473382,"town",444.597114455645,"Sawbridgeworth"
"1179","Saxmundham BUASD",638106.439744554,263307.970647317,3644,2,"buasd",NA,638635.159941208,263084.197383609,"town",574.125003723217,"Saxmundham"
"1180","Scotby BUASD",343845.087964077,555449.91913064,1740,1,"buasd",NA,343845.087964077,555449.91913064,"Origin",NA,NA
"1181","Seaton BUASD",301664.333996954,530655.929228653,5196,3,"buasd",NA,301664.333996954,530655.929228653,"Origin",NA,NA
"1182","Seaton Delaval BUASD",430666.759244546,575062.475060539,7509,5,"buasd",NA,430666.759244546,575062.475060539,"Origin",NA,NA
"1183","Sedbury BUASD",354295.522906458,194080.746683222,2942,2,"buasd",NA,354295.522906458,194080.746683222,"Origin",NA,NA
"1184","Sedgley BUASD",391571.250785118,292595.99699637,31815,21,"buasd",NA,391571.250785118,292595.99699637,"Origin",NA,NA
"1185","Seer Green BUASD",496490.671133173,191966.110364773,2311,1,"buasd",NA,496490.671133173,191966.110364773,"Origin",NA,NA
"1186","Selby BUASD",461225.761860712,432047.206701833,17355,11,"buasd",NA,461455.11290114,432367.364644012,"town",393.831191865426,"Selby"
"1187","Selston BUASD",446819.258122561,353116.550571443,6753,4,"buasd",NA,446819.258122561,353116.550571443,"Origin",NA,NA
"1188","Sevenoaks BUASD",552432.452643988,155791.30964872,29240,18,"buasd",NA,552964.617826447,154815.626318294,"town",1111.37650807086,"Sevenoaks"
"1189","Shaldon BUASD",293084.443601041,72249.2645120718,1269,1,"buasd",NA,293084.443601041,72249.2645120718,"Origin",NA,NA
"1190","Shanklin BUASD",458085.744620482,81734.265613984,9072,6,"buasd",NA,458242.848356419,81334.8998599492,"town",429.155670289085,"Shanklin"
"1191","Sharlston BUASD",438951.654592758,419327.037624647,2663,2,"buasd",NA,438951.654592758,419327.037624647,"Origin",NA,NA
"1192","Sharpthorne BUASD",536854.783819597,132616.382184208,2181,1,"buasd",NA,536854.783819597,132616.382184208,"Origin",NA,NA
"1193","Shavington BUASD",370031.022417233,351822.950400838,3822,3,"buasd",NA,370031.022417233,351822.950400838,"Origin",NA,NA
