"","zone","year","country","la","ttwa","pop","inc.n","noninc.n","social.HH","nonsocial.HH","dist_main","dist_nearest","crime","live.in","geo","pm25","work","area"
"128","S01006633",2020,"Scotland","Aberdeen City","Aberdeen",660,169,491,187,101,2011.86363058908,2011.86363058908,56,776,5012,3708,12970.1739984032,76875.3030629279
"129","S01006634",2020,"Scotland","Aberdeen City","Aberdeen",624,175,449,239,52,1888.39611025959,1888.39611025959,100,1070,3094,3708,10797.5822841633,224566.910943448
"130","S01006635",2020,"Scotland","Aberdeen City","Aberdeen",627,105,522,139,150,1762.66114735348,1762.66114735348,736,731,4594,3708,11970.6706919988,83304.3206055257
"131","S01006636",2020,"Scotland","Aberdeen City","Aberdeen",798,207,591,324,62,2027.05179670987,2027.05179670987,343,983,1907,3708,9013.32016967035,56609.0317779304
"132","S01006637",2020,"Scotland","Aberdeen City","Aberdeen",772,80,692,129,284,344.9617565197,344.9617565197,544,457,3515,4343.5,20522.7961742962,581233.396412218
"133","S01006638",2020,"Scotland","Aberdeen City","Aberdeen",779,114,665,136,368,498.69030400494,498.69030400494,438,324,6664,509.5,20628.9742015322,72731.6974833768
"134","S01006639",2020,"Scotland","Aberdeen City","Aberdeen",924,166,758,247,345,305.538930274631,305.538930274631,681,205,6179,509.5,22692.9987943342,103528.202501103
"135","S01006640",2020,"Scotland","Aberdeen City","Aberdeen",822,29,793,31,345,609.066529528713,609.066529528713,2794,1145.5,4951,4343.5,17074.2961376519,288598.240705452
"136","S01006641",2020,"Scotland","Aberdeen City","Aberdeen",1044,82,962,127,475,726.873678299099,726.873678299099,1976,220,6470,2691.5,17982.1323034797,80832.0410855785
"137","S01006642",2020,"Scotland","Aberdeen City","Aberdeen",1299,99,1200,98,394,660.04115750371,660.04115750371,638,207,5650,2691.5,22275.2573267962,193760.90861351
"138","S01006643",2020,"Scotland","Aberdeen City","Aberdeen",698,23,675,31,388,778.19291674958,778.19291674958,2335,219,5750,2691.5,19272.7379671849,49330.4930004589
"139","S01006644",2020,"Scotland","Aberdeen City","Aberdeen",1139,77,1062,137,416,1079.55129888122,1079.55129888122,2766,288,4306,2691.5,16388.2253145096,158320.048090283
"140","S01006645",2020,"Scotland","Aberdeen City","Aberdeen",688,159,529,272,121,854.114840790179,854.114840790179,104,769,4960,2394.5,24975.4725382239,31006.8935019658
"141","S01006646",2020,"Scotland","Aberdeen City","Aberdeen",861,46,815,84,256,613.75652619202,613.75652619202,311,195,4665,509.5,27211.1279976386,169251.907180589
"142","S01006647",2020,"Scotland","Aberdeen City","Aberdeen",625,83,542,161,180,546.538061909561,546.538061909561,2027,597,4372,509.5,25339.598815101,51491.1020029783
"143","S01006648",2020,"Scotland","Aberdeen City","Aberdeen",1751,130,1621,185,466,763.197154458236,763.197154458236,599,163,4732,2394.5,27152.0779292628,180001.372234292
"144","S01006649",2020,"Scotland","Aberdeen City","Aberdeen",954,132,822,204,379,1218.4826793707,1218.4826793707,675,642,6660,2526,23064.3885376816,45851.3563405047
"145","S01006650",2020,"Scotland","Aberdeen City","Aberdeen",801,77,724,78,403,1496.86417618582,1496.86417618582,576,164,6715,2526,20747.8599792806,82529.2855989644
"146","S01006651",2020,"Scotland","Aberdeen City","Aberdeen",677,78,599,129,253,1326.66584137894,1326.66584137894,255,188,6545,2526,21412.9039740033,108708.867503013
"147","S01006652",2020,"Scotland","Aberdeen City","Aberdeen",744,32,712,51,257,1081.69296500096,1081.69296500096,1896,579,5412,2526,22939.0488194468,94923.0938015345
"148","S01006653",2020,"Scotland","Aberdeen City","Aberdeen",545,31,514,21,275,1974.92753362703,1974.92753362703,2844,2877,5739,2526,18752.2719336786,108063.098041129
"149","S01006654",2020,"Scotland","Aberdeen City","Aberdeen",877,179,698,240,264,2144.84988017476,2144.84988017476,1544,1262,4012,2959,17869.1883241625,142566.866426071
"150","S01006655",2020,"Scotland","Aberdeen City","Aberdeen",809,54,755,45,289,1917.02610453042,1917.02610453042,909,1776,3405,2959,20773.1264779138,386331.060316069
"151","S01006656",2020,"Scotland","Aberdeen City","Aberdeen",980,104,876,116,408,1265.95149576513,1265.95149576513,1310,814,6407,2394.5,24642.2811489807,144629.893948548
"152","S01006657",2020,"Scotland","Aberdeen City","Aberdeen",525,54,471,87,199,1977.37444776003,1977.37444776003,4,296,5969,2526,17519.6709458309,115725.848352022
"153","S01006658",2020,"Scotland","Aberdeen City","Aberdeen",1204,153,1051,204,321,1340.29062622611,1340.29062622611,1380,180,4641,2526,20009.3602068672,96987.1231245347
"154","S01006659",2020,"Scotland","Aberdeen City","Aberdeen",603,12,591,11,276,1606.81638270012,1606.81638270012,4169,911,5697,2526,18963.946135418,65662.2743685395
"155","S01006660",2020,"Scotland","Aberdeen City","Aberdeen",505,81,424,81,166,2104.45742979254,2104.45742979254,1169,137,5213,2526,15632.4862533555,113672.082095459
"156","S01006661",2020,"Scotland","Aberdeen City","Aberdeen",592,25,567,22,279,1672.31460780064,1672.31460780064,4113,435,5962,2526,18054.1427814794,90909.0302058733
"157","S01006662",2020,"Scotland","Aberdeen City","Aberdeen",893,101,792,153,132,2072.61640881382,2072.61640881382,1520,923,4426,3189.5,15650.0342581791,217424.67689365
"158","S01006663",2020,"Scotland","Aberdeen City","Aberdeen",568,7,561,14,231,1537.3852149016,1537.3852149016,4660,293,5805,2691.5,17257.0215445678,68391.4182789731
"159","S01006664",2020,"Scotland","Aberdeen City","Aberdeen",578,24,554,25,212,1417.64182659413,1417.64182659413,2254.5,460,6411,2526,18742.554440951,94378.1684175252
"160","S01006665",2020,"Scotland","Aberdeen City","Aberdeen",773,37,736,36,280,1335.26370878023,1335.26370878023,3068,141,5999,2691.5,18639.7485194477,126042.499797952
"161","S01006666",2020,"Scotland","Aberdeen City","Aberdeen",1001,233,768,426,73,2143.07817851294,2143.07817851294,629,603,4581,4993,9937.30758747303,762798.676781677
"162","S01006667",2020,"Scotland","Aberdeen City","Aberdeen",750,179,571,340,107,1854.5456099324,1854.5456099324,274,350,5434,3310,12298.578606078,87481.2380511729
"163","S01006668",2020,"Scotland","Aberdeen City","Aberdeen",902,52,850,75,338,1486.50229243213,1486.50229243213,2418,311,3292,2691.5,14752.4967211969,135695.143481627
"164","S01006669",2020,"Scotland","Aberdeen City","Aberdeen",965,118,847,215,229,1952.1595571453,1952.1595571453,991,611,5240,3310,13152.0304827832,260008.237326016
"165","S01006670",2020,"Scotland","Aberdeen City","Aberdeen",857,70,787,97,250,1310.7386541394,1310.7386541394,1172,316,3900,2691.5,15158.6794465732,176279.622186538
"166","S01006671",2020,"Scotland","Aberdeen City","Aberdeen",2029,22,2007,62,171,2796.74384423036,2796.74384423036,5221,982,1560,3370.5,8100.03929057158,641419.588841005
"167","S01006672",2020,"Scotland","Aberdeen City","Aberdeen",801,120,681,206,160,2179.71291933487,2179.71291933487,1474,320.5,6685,3310,11526.2191361157,147897.117687926
"168","S01006673",2020,"Scotland","Aberdeen City","Aberdeen",862,122,740,209,158,2351.42942081712,2351.42942081712,1249,1135,5510,3310,10420.6491585503,100165.734044007
"169","S01006674",2020,"Scotland","Aberdeen City","Aberdeen",913,192,721,445,99,2369.07249578915,2369.07249578915,1375,815,4409,3310,9846.5008336074,762335.663899522
"170","S01006675",2020,"Scotland","Aberdeen City","Aberdeen",915,181,734,284,31,2786.0727388042,2786.0727388042,1794,1379,4810,3189.5,11047.5037710256,91656.5923830536
