"","zone","accessA","accessB"
"612","S01000612",13504,3101.43172826249
"613","S01000613",13526,2807.6080695577
"614","S01000614",45578,139.813150006519
"615","S01000615",13372,2972.84739215044
"616","S01000616",13982,888.651009272309
"617","S01000617",13794,1807.89110581384
"618","S01000618",13287,2038.7175288319
"619","S01000619",13679,2090.33679395355
"620","S01000620",13396,2862.5449020692
"621","S01000621",13609,2421.18254672015
"622","S01000622",13326,1312.82271760842
"623","S01000623",13373,2250.97688858866
"624","S01000624",13424,2302.7534872029
"625","S01000625",13373,1704.8998041779
"626","S01000626",13442,2390.24909511016
"627","S01000627",13561,2246.75349472112
"628","S01000628",13423,1441.56576604919
"629","S01000629",13692,1687.05321725709
"630","S01000630",13544,1843.10446739019
"631","S01000631",13397,1929.32217513551
"632","S01000632",75424,68.2669881123049
"633","S01000633",13692,1501.37165389031
"634","S01000634",13559,1507.13592304198
"635","S01000635",13639,1554.81311663092
"636","S01000636",47269,67.3546454728131
"637","S01000637",23977,62.0511670814542
"638","S01000638",18725,204.439504844818
"639","S01000639",29522,70.4080478895621
"640","S01000640",13590,361.943537561573
"641","S01000641",25455,157.849652968084
"642","S01000642",25453,208.995157541457
"643","S01000643",24199,192.503207011296
"644","S01000644",24622,247.172017896546
"645","S01000645",19754,87.3438636670463
"646","S01000646",12146,1639.89713136914
"647","S01000647",12033,1883.85566030015
"648","S01000648",11984,2189.42048323831
"649","S01000649",14142,72.4432354424107
"650","S01000650",12033,2128.89349252352
"651","S01000651",11956,2663.29621037658
"652","S01000652",12040,2492.70429903618
"653","S01000653",12016,2824.99211987093
"654","S01000654",12040,2766.69655968556
"655","S01000655",12149,2062.35034162277
"656","S01000656",12065,2763.40063627089
"657","S01000657",12124,2238.8101701325
"658","S01000658",11980,3039.41386159601
"659","S01000659",11999,2427.72613336253
"660","S01000660",11937,2295.36811227959
"661","S01000661",11937,2771.23706046997
"662","S01000662",11416,405.990356728248
"663","S01000663",11847,2061.00890492759
"664","S01000664",25584,192.059005169965
"665","S01000665",13978,309.339605468495
"666","S01000666",11539,213.082728502623
"667","S01000667",11484,779.469845590029
"668","S01000668",11406,781.824147624491
"669","S01000669",11148,892.051550475433
"670","S01000670",11312,696.397043594194
"671","S01000671",11155,650.719140322507
"672","S01000672",11155,756.828892991227
"673","S01000673",10999,618.437900417097
"674","S01000674",11295,708.556490194077
"675","S01000675",10882,518.267158749295
"676","S01000676",11291,450.528886468925
"677","S01000677",12220,1012.55120746001
"678","S01000678",11253,1095.99694267753
"679","S01000679",11706,2289.35297764711
"680","S01000680",11540,2174.4895845441
"681","S01000681",11847,2146.32795525158
"682","S01000682",11655,2448.0348545696
"683","S01000683",11499,2105.17831295647
"684","S01000684",11596,2215.36590088635
"685","S01000685",11504,1916.01865940722
"686","S01000686",11722,2042.72119702487
"687","S01000687",11774,1602.98333758973
"688","S01000688",11440,1662.12253665191
"689","S01000689",14272,47.6708979644185
"690","S01000690",11738,1309.49331256464
"691","S01000691",11555,1328.64498331146
"692","S01000692",12142,824.609479689722
"693","S01000693",12156,1061.70839200908
"694","S01000694",11631,1277.19935515694
"695","S01000695",12124,1078.45981810547
"696","S01000696",12220,1233.23341531503
"697","S01000697",12132,497.573260971319
"698","S01000698",12146,1165.25460594599
"699","S01000699",12115,895.167515125221
"700","S01000700",11712,1050.4376493947
"701","S01000701",12206,728.492156937545
"702","S01000702",11970,911.774540222088
"703","S01000703",12131,843.853802451611
"704","S01000704",13390,71.4885996974036
"705","S01000705",11852,589.917297049569
"706","S01000706",12545,391.046699974627
"707","S01000707",11979,78.3024870106591
"708","S01000708",5700,45.950565318642
"709","S01000709",7154,169.689532631432
"710","S01000710",8443,42.3801631161509
"711","S01000711",2726,37.4943933153232
"712","S01000712",2860,1184.85126468443
"713","S01000713",2860,1060.68006361975
"714","S01000714",2831,61.1584935348957
"715","S01000715",2860,1336.98201127599
"716","S01000716",2860,1439.99764311025
"717","S01000717",2860,1153.03437723219
"718","S01000718",2860,1016.99453404154
"719","S01000719",2860,1057.6996687663
"720","S01000720",2980,26.4189202201055
"721","S01000721",414,26.2152332406
"722","S01000722",386,140.933755269885
"723","S01000723",1220,39.6892520076357
"724","S01000724",1047,367.721268466564
"725","S01000725",756,93.2224102623346
"726","S01000726",946,62.3298937329556
"727","S01000727",7542,1050.15878150049
"728","S01000728",8204,116.772027006888
"729","S01000729",7229,1032.15820971164
"730","S01000730",7556,1150.87014063623
"731","S01000731",7614,1152.44569617903
"732","S01000732",8147,1228.81495235042
"733","S01000733",8667,1188.20284669864
"734","S01000734",11254,373.555042150285
"735","S01000735",8624,945.717775414282
"736","S01000736",9915,259.481712532042
"737","S01000737",7307,153.529138862117
"738","S01000738",1093,324.331098188594
"739","S01000739",1093,331.144721917512
"740","S01000740",3281,88.48537501426
"741","S01000741",34702,97.0580133177594
"742","S01000742",24167,51.1952676883589
"743","S01000743",44674,598.880491519764
"744","S01000744",45594,1403.97734054962
